CIS Control ID,AWS Control ID,Control Description,Remediation,auto/manual
1.10,IAM.5,MFA should be enabled for all IAM users that have a console password,Print a message indicating that this control cannot be repaired automatically.,Manual
1.12,IAM.22,IAM user credentials unused for 45 days should be removed,Delete IAM credentials that have not been used for more than 45 days.,Automated
1.14,IAM.3,IAM users' access keys should be rotated every 90 days or less,Disable IAM access key that has been used for more than 90 days.,Automated
1.15,IAM.2,IAM users should not have IAM policies attached,Create the user group with policy of users then detach the policy of IAM user and move IAM user to user group.,Automated
1.17,IAM.18,Ensure a support role has been created to manage incidents with AWS Support,Create an IAM role named support_role and assign the support access policy.,Automated
1.19,IAM.26,Expired SSL/TLS certificates managed in IAM should be removed,Delete expired SSL/TLS certificates. (Can not test),Automated
1.20,IAM.28,IAM Access Analyzer external access analyzer should be enabled,"Create an IAM Access Analyzer named ""ExternalAccessAnalyzer"".",Automated
1.22,IAM.27,IAM identities should not have the AWSCloudShellFullAccess policy attached,"Remove the AWSCloudShellFullAccess policy from any IAM role, user and group.",Automated
1.4,IAM.4,IAM root user access key should not exist,Print a message indicating that this control cannot be repaired automatically.,Manual
1.5,IAM.9,MFA should be enabled for the root user,Print a message indicating that this control cannot be repaired automatically.,Manual
1.6,IAM.6,Hardware MFA should be enabled for the root user,Print a message indicating that this control cannot be repaired automatically.,Manual
1.8,IAM.15,Ensure IAM password policy requires minimum password length of 14 or greater,Change the minimum length of the IAM password policy to 14 or greater.,Automated
1.9,IAM.16,Ensure IAM password policy prevents password reuse,Change the password policy to prevent users from reusing recent passwords (Our default number is 24).,Automated
2.1.1,S3.5,S3 general purpose buckets should require requests to use SSL,Add a new policy into S3 bucket policy to deny the HTTP connect of S3 bucket.,Automated
2.1.2,S3.20,S3 general purpose buckets should have MFA delete enabled,Print a message indicating that this control cannot be repaired automatically.,Manual
2.1.3,,"Ensure all data in Amazon S3 has been discovered, classified and secured when required.",,Manual
2.1.4.1,S3.1,S3 general purpose buckets should have block public access settings enabled,"Set all options in ""PublicAccessBlockConfiguration"" to true to block public access at account level.",Automated
2.1.4.2,S3.8,S3 general purpose buckets should block public access,"Set all options in ""PublicAccessBlockConfiguration"" to true to block public access at bucket level.",Automated
2.2.1,EC2.7,EBS default encryption should be enabled,Enable the EBS default encryption,Automated
